ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T04648	70255	scv	Staphylococcus condimenti		0	A4G25_10905	NA	AMY06409	A0A143PF93
T04943	170573	spet	Staphylococcus pettenkoferi		0	CEP67_11255	NA	ASE37827	A0A1Z3U3H4
T04991	155085	slz	Staphylococcus lutrae		0	B5P37_04515	NA	ARJ50632	A0A1W6BL84
T05008	29382	scoh	Staphylococcus cohnii		0	BZ166_03710	NA	AQM40812	A0A2T4LSR7
T05272	214473	snl	Staphylococcus nepalensis		0	BJD96_12925	NA	ATH61125	A0A291JNH4
T05401	29384	skl	Staphylococcus kloosii		0	C7J89_02655	NA	AVQ35086	A0A512QDK4
T05459	46127	sfq	Staphylococcus felis		0	C7J90_07540	NA	AVP36812	A0A2K3Z8W4
T06045	1290	shom	Staphylococcus hominis		0	EGX58_05455	NA	AYY66379	A0A6N0I1P0
T06215	1294	smus	Staphylococcus muscae		0	C7J88_07895	NA	AVQ34099	A0A240BSJ2
T06252	29380	scar	Staphylococcus caprae		0	DWB96_00940	NA	QDW92864	NA
T06648	46126	schr	Staphylococcus chromogenes		0	DWB92_08425	NA	QDW82685	NA
T06808	29378	sarl	Staphylococcus arlettae		0	SAP2_08120	NA	BBK27628	NA
T06938	70258	spic	Staphylococcus piscifermentans		0	SAMEA4384060_0582	NA	SNU99034	NA
T06947	1654388	ssh	Staphylococcus schweitzeri		0	NCTC13712_00442	NA	VEE65061	A0A2K4AI31
T06955	308354	ssim	Staphylococcus simiae		0	SAMEA4384339_1173	NA	SNV69818	NA
T07127	2044912	sdb	Staphylococcus debuckii		0	CNQ82_05165	NA	AYU54849	A0A3G4QWT9
T07245	2781774	sllo	Staphylococcus lloydii		0	ISP08_08185	NA	QPM74324	A0A7T1AY90
T07334	29379	saul	Staphylococcus auricularis		0	I6G39_02995	NA	QPT06638	A0A2K4C1J0
T07353	33028	ssac	Staphylococcus saccharolyticus		0	I6I31_07575	NA	QQB97904	NA
T08246	2892440	srai	Staphylococcus ratti		0	LN051_07845	NA	UEX89487	NA
T08256	2282419	spsd	Staphylococcus pseudoxylosus		0	JMB28_12675	NA	QRA16447	NA
T05176	1296	sscu	Mammaliicoccus sciuri		0	CEP64_08180	NA	ASE34561	A0A1X0TV35
T06358	150056	sff	Mammaliicoccus fleurettii		0	FOB90_06020	NA	QGS46270	NA
T06999	643214	sste	Mammaliicoccus stepanovicii		0	SAMEA4384403_0161	NA	SNV55358	A0A239YAZ2
T07021	42858	mlen	Mammaliicoccus lentus		0	H3V22_12285	NA	QMU10338	NA
T07207	71237	mvt	Mammaliicoccus vitulinus		0	I6J10_08100	NA	QQT14550	NA
T00848	69966	mcl	Macrococcus caseolyticus		0	MCCL_0483	NA	BAH17190	B9EAC9
T04838	1855823	mcak	Macrococcus canis		0	MCCS_09150	NA	ARQ06562	A0A1W7AAC4
